player,Minutes_Played,Pos,Rebounds
Vit Krejci,5.7,PG,0.9
Jonathan Kuminga,20.8,PF,3.4
Kyle Kuzma,35.0,PF,7.2
Anthony Lamb,19.3,SF,3.5
Jock Landale,14.2,C,4.1
Romeo Langford,19.6,SG,2.7
Jake LaRavia,11.8,PF,1.8
Zach LaVine,35.9,SG,4.5
Damion Lee,20.4,SG,3.0
Alex Len,6.2,C,2.3
Kawhi Leonard,33.6,SF,6.5
Meyers Leonard,12.7,C,3.8
Caris LeVert,30.2,SG,3.8
Kira Lewis Jr.,9.4,PG,1.3
Damian Lillard,36.3,PG,4.8
Nassir Little,18.1,SF,2.6
Isaiah Livers,23.1,PF,2.8
Kenneth Lofton Jr.,7.3,PF,2.1
Kevon Looney,23.9,C,9.3
Brook Lopez,30.4,C,6.7
Robin Lopez,8.1,C,1.4
Kyle Lowry,31.2,PG,4.1
Trey Lyles,16.9,PF,4.1
Théo Maledon,19.4,PG,2.8
Terance Mann,23.1,SG,3.4
Tre Mann,17.7,PG,2.3
Boban Marjanovi?,5.5,C,1.9
Lauri Markkanen,34.4,SF,8.6
Naji Marshall,23.3,SF,3.6
Caleb Martin,29.3,PF,4.8
Cody Martin,19.1,SF,3.4
Kenyon Martin Jr.,28.0,SF,5.5
Tyrese Martin,4.1,SG,0.8
Bennedict Mathurin,28.5,SF,4.1
Wesley Matthews,15.8,SG,2.2
Tyrese Maxey,33.6,SG,2.9
Skylar Mays,31.5,SG,3.2
Miles McBride,11.9,PG,0.8
Mac McClung,20.5,SG,5.0
CJ McCollum,35.3,SG,4.4
T.J. McConnell,20.3,PG,3.1
Jaden McDaniels,30.6,SF,3.9
Doug McDermott,20.5,SF,2.2
JaVale McGee,8.5,C,2.5
Bryce McGowens,17.1,SG,2.0
Rodney McGruder,16.4,SG,2.3
Jordan McLaughlin,15.8,PG,1.4
De'Anthony Melton,27.9,PG,4.1
Sam Merrill,11.8,SG,1.8
Chimezie Metu,10.4,C,3.0
Khris Middleton,24.3,SF,4.2
Patty Mills,14.2,PG,1.1
Shake Milton,20.6,SG,2.5
Justin Minaya,22.3,SF,3.8
Josh Minott,6.4,SF,1.7
Davion Mitchell,18.1,PG,1.3
Donovan Mitchell,35.8,SG,4.3
Evan Mobley,34.4,PF,9.0
Isaiah Mobley,6.5,PF,1.5
Chima Moneke,4.0,SF,1.0
Malik Monk,22.3,SG,2.6
Moses Moody,13.0,SG,1.7
Xavier Moon,5.0,SG,0.8
Wendell Moore Jr.,5.3,SG,0.6
Ja Morant,31.9,PG,5.9
Marcus Morris,28.1,PF,4.0
Monte Morris,27.3,PG,3.4
Trey Murphy III,31.0,SF,3.6
Dejounte Murray,36.4,SG,5.3
Jamal Murray,32.8,PG,4.0
Keegan Murray,29.8,SF,4.6
Larry Nance Jr.,21.2,PF,5.4
Andrew Nembhard,27.6,SG,2.7
Aaron Nesmith,24.9,SF,3.8
Raul Neto,10.5,PG,1.0
Georges Niang,19.4,PF,2.4
Daishen Nix,16.0,PG,1.7
Zeke Nnaji,13.7,PF,2.6
Jaylen Nowell,19.3,SG,2.6
Frank Ntilikina,12.9,PG,1.3
Jusuf Nurki?,26.8,C,9.1
Royce O'Neale,31.7,SF,5.1
Chuma Okeke,19.2,SF,3.6
Josh Okogie,18.8,SG,3.5
Onyeka Okongwu,23.1,C,7.2
Isaac Okoro,21.7,SF,2.5
KZ Okpala,7.1,PF,1.0
Victor Oladipo,26.3,SG,3.0
Kelly Olynyk,28.6,C,6.2
Cedi Osman,20.1,SF,2.3
Kelly Oubre Jr.,32.3,SF,5.2
Chris Paul,32.0,PG,4.3
Cameron Payne,20.2,PG,2.2
Theo Pinson,8.1,SG,1.6
Scotty Pippen Jr.,5.3,PG,0.7
Aleksej Pokusevski,20.6,PF,4.7
Jordan Poole,30.0,PG,2.7
Kevin Porter Jr.,34.3,PG,5.3
Michael Porter Jr.,29.0,SF,5.5
Otto Porter Jr.,18.3,SF,2.4
Bobby Portis,26.0,PF,9.6
Kristaps Porzi??is,32.6,C,8.4
Micah Potter,7.4,PF,2.3
Dwight Powell,19.2,C,4.1
Norman Powell,26.1,SG,2.9
Jason Preston,8.9,PG,1.6
Joshua Primo,23.3,SG,3.3
Taurean Prince,22.1,SF,2.4
Payton Pritchard,13.4,PG,1.8
Trevelin Queen,10.0,SG,2.4
Neemias Queta,5.8,C,2.2
Immanuel Quickley,28.9,PG,4.2
Lester Quinones,4.5,SG,0.8
Julius Randle,35.5,PF,10.0
Austin Reaves,28.8,SG,3.0
Paul Reed,10.9,C,3.8
Naz Reid,18.4,C,4.9
Jared Rhoden,14.1,SG,2.6
Nick Richards,18.7,C,6.4
Austin Rivers,19.5,SG,1.6
Duncan Robinson,16.5,SF,1.6
Mitchell Robinson,27.0,C,9.4
Orlando Robinson,13.7,C,4.1
Jeremiah Robinson-Earl,18.9,PF,4.2
Isaiah Roby,11.3,PF,2.5
David Roddy,18.0,PF,2.8
Ryan Rollins,5.2,PG,1.0
Derrick Rose,12.5,PG,1.5
Terry Rozier,35.3,SG,4.1
Ricky Rubio,17.2,PG,2.1
Domantas Sabonis,34.6,C,12.3
Luka amani?,23.0,PF,4.3
Olivier Sarr,12.7,C,3.4
Jordan Schakel,3.0,SF,0.0
Admiral Schofield,12.2,PF,1.7
Dennis Schröder,30.1,PG,2.5
Jay Scrubb,15.0,SG,3.0
Dereon Seabron,2.4,SG,0.2
Alperen Þengün,28.9,C,9.0
Collin Sexton,23.9,SG,2.2
Landry Shamet,20.2,SG,1.7
Day'Ron Sharpe,11.5,C,4.2
Shaedon Sharpe,22.2,SG,3.0
Pascal Siakam,37.4,C,7.8
Chris Silva,3.0,PF,0.0
Ben Simmons,26.3,PG,6.3
Kobi Simmons,5.6,PG,0.8
Marko Simonovic,2.9,C,0.3
Anfernee Simons,35.0,SG,2.6
Jericho Sims,15.6,C,4.7
Marcus Smart,32.1,PG,3.1
Dennis Smith Jr.,25.7,PG,3.1
Ish Smith,9.3,PG,1.3
Jabari Smith Jr.,31.0,PF,7.2
Jalen Smith,18.8,PF,5.8
Xavier Sneed,12.0,SF,1.3
Jeremy Sochan,26.0,PF,5.3
Jaden Springer,5.6,SG,0.9
Lamar Stevens,18.1,PF,3.3
Isaiah Stewart,28.3,C,8.1
Max Strus,28.4,SF,3.2
Jalen Suggs,23.5,PG,3.0
Edmond Sumner,13.9,SG,1.5
Cole Swider,5.9,SF,1.0
Jae'Sean Tate,21.8,SF,3.8
Jayson Tatum,36.9,PF,8.8
Garrett Temple,6.5,SG,0.7
Dalen Terry,5.6,SG,1.0
Daniel Theis,15.6,C,3.1
Cam Thomas,16.6,SG,1.7
Klay Thompson,33.0,SG,4.1
JT Thor,14.0,PF,2.2
Xavier Tillman Sr.,19.3,PF,5.0
Isaiah Todd,10.2,PF,2.0
Obi Toppin,15.7,PF,2.8
Karl-Anthony Towns,33.0,PF,8.1
Gary Trent Jr.,32.1,SG,2.6
P.J. Tucker,25.6,PF,3.9
Myles Turner,29.4,C,7.5
Stanley Umude,2.0,SG,0.0
Jonas Valan?i?nas,24.9,C,10.2
Fred VanVleet,36.7,PG,4.1
Devin Vassell,31.0,SG,3.9
Gabe Vincent,25.9,PG,2.1
Noah Vonleh,7.4,C,2.1
Nikola Vu?evi?,33.5,C,11.0
Dean Wade,20.3,PF,3.4
Franz Wagner,32.6,SF,4.1
Moritz Wagner,19.5,C,4.5
Ish Wainright,15.3,SF,2.3
Jabari Walker,11.1,SF,2.3
Kemba Walker,16.0,PG,1.8
Lonnie Walker IV,23.2,SG,1.9
John Wall,22.2,PG,2.7
Duane Washington Jr.,12.7,SG,1.2
P.J. Washington,32.6,PF,4.9
TyTy Washington Jr.,14.0,PG,1.5
Yuta Watanabe,16.0,SF,2.4
Lindy Waters III,13.0,SG,1.8
Trendon Watford,19.1,PF,3.8
Peyton Watson,8.1,SG,1.6
Blake Wesley,18.1,SG,2.2
Coby White,23.4,SG,2.9
Derrick White,28.3,SG,3.6
Jack White,3.9,SF,1.0
Joe Wieskamp,5.6,SF,0.4
Aaron Wiggins,18.5,SG,3.0
Andrew Wiggins,32.2,SF,5.0
Lindell Wigginton,12.4,PG,1.0
Alondes Williams,5.0,SG,1.0
Donovan Williams,2.0,SG,1.0
Grant Williams,25.9,PF,4.6
Jalen Williams,30.3,SG,4.5
Jaylin Williams,18.7,PF,4.9
Jeenathan Williams,25.4,SG,3.0
Kenrich Williams,22.8,PF,4.9
Mark Williams,19.3,C,7.1
Patrick Williams,28.3,PF,4.0
Robert Williams,23.5,C,8.3
Vince Williams Jr.,7.0,SG,1.0
Ziaire Williams,15.2,SF,2.1
Zion Williamson,33.0,PF,7.0
Dylan Windler,3.3,SF,0.0
Justise Winslow,26.8,SF,5.0
Christian Wood,25.9,C,7.3
Delon Wright,24.4,PG,3.6
McKinley Wright IV,12.4,PG,1.7
Gabe York,18.7,SG,2.0
Thaddeus Young,14.7,PF,3.1
Trae Young,34.8,PG,3.0
Omer Yurtseven,9.2,C,2.6
Cody Zeller,14.5,C,4.3
Ivica Zubac,28.6,C,9.9
